kabupaten_kota,bulan,nama_bulan,aktual,estimasi,error_pct,musim
Banggai,1,Januari,63744,61718,3.1783383534136544,Sedang
Banggai,2,Febuari,47117,60888,29.22724282106246,Sedang
Banggai,3,Maruari,71632,45378,36.65121733303551,Sepi
Banggai Kepulauan,1,Januari,21708,14751,32.04809286898839,Sepi
Banggai Kepulauan,2,Febuari,17971,19042,5.959601580323856,Sepi
Banggai Kepulauan,3,Maruari,26861,16374,39.041733368080116,Sepi
Banggai Laut,1,Januari,15565,7854,49.540636042402824,Sepi
Banggai Laut,2,Febuari,11879,12954,9.049583298257428,Sepi
Banggai Laut,3,Maruari,17274,10337,40.15861989116591,Sepi
Buol,1,Januari,17365,13339,23.184566657068817,Sepi
Buol,2,Febuari,14862,14779,0.5584712690082089,Sepi
Buol,3,Maruari,23130,13340,42.32598357111976,Sepi
Donggala,1,Januari,117983,112325,4.795606146648246,Ramai
Donggala,2,Febuari,105425,115050,9.129713066160777,Ramai
Donggala,3,Maruari,143129,103594,27.621935456825657,Ramai
Kota Palu,1,Januari,281833,351158,24.597900174926284,Ramai
Kota Palu,2,Febuari,251355,278316,10.726263651011518,Ramai
Kota Palu,3,Maruari,293562,249007,15.177373093247764,Ramai
Morowali,1,Januari,90161,105146,16.620268186910085,Ramai
Morowali,2,Febuari,71993,87396,21.395135638187046,Ramai
Morowali,3,Maruari,92225,70352,23.716996476009758,Ramai
Morowali Utara,1,Januari,50986,52272,2.5222610128270504,Sedang
Morowali Utara,2,Febuari,41959,48400,15.350699492361592,Sedang
Morowali Utara,3,Maruari,54290,40462,25.470620740467858,Sedang
Parigi Moutong,1,Januari,101742,97687,3.9855713471329444,Ramai
Parigi Moutong,2,Febuari,89872,98997,10.153329179277195,Ramai
Parigi Moutong,3,Maruari,135334,88227,34.807956611051175,Ramai
Poso,1,Januari,92374,85256,7.705631454738346,Ramai
Poso,2,Febuari,67234,89696,33.40869203081775,Ramai
Poso,3,Maruari,91235,65706,27.98158601413931,Ramai
Sigi,1,Januari,126218,124125,1.658242089083966,Ramai
Sigi,2,Febuari,109690,123445,12.539885130823228,Ramai
Sigi,3,Maruari,126028,108034,14.27777954105437,Ramai
Tojo Una-una,1,Januari,32202,30836,4.241972548288926,Sepi
Tojo Una-una,2,Febuari,26772,29814,11.362617660242044,Sepi
Tojo Una-una,3,Maruari,43725,25460,41.77244139508291,Sepi
Tolitoli,1,Januari,30470,31861,4.56514604529045,Sepi
Tolitoli,2,Febuari,24119,28120,16.58858161615324,Sepi
Tolitoli,3,Maruari,46205,22848,50.550806189806295,Sepi
